Question,score1,Answer 1,score2,Answer 2,score3,Answer 3,score4,Answer 4,score5,Answer 5
قم بتسمية شيء تراه في إحدى مباريات WWE ولن تراه أبدًا في مباراة مصارعة في المدرسة الثانوية.,26,دم,26,عنف,12,الشخصيات,12,أزياء,9,رمي الكراسي
قم بتسمية شيء قد تفعله في موعد غرامي في الحديقة.,38,قبلة,35,نزهه,16,يمشي,6,امسك اليدين,3,استخدم الملعب
ماذا يمكن أن يسمي بستاني الزهور ابنته؟,39,وَردَة,33,ديزي,17,زنبق,5,قزحية,5,البنفسجي
على موقع للمواعدة – ما هو النشاط الذي يدرجه الأشخاص في كثير من الأحيان باعتباره هواية؟,45,قراءة,20,الرياضة,15,الرقص,10,جولة على الأقدام,5,مشاهدة الأفلام
قم بتسمية شيء ما في الكازينو قد يسبب لك الصداع.,39,ضوضاء,28,دخان,15,أضواء وامضة,13,ماكينات القمار,3,الكحول
قم بتسمية شيء يتسوق الناس من أجله قبل الشراء,58,سيارة,12,ملابس,11,منزل,9,تلفزيون,6,الأجهزة
قم بتسمية طعام الإفطار الذي يمكنك تحضيره باستخدام يد واحدة فقط.,39,نخب,28,بيض,23,رقائق الذرة,3,وافل/بوب تارت,3,لحم خنزير مقدد
قم بتسمية لعبة قد تكون غير مناسبة في حفلة الشركة.,41,تدور الزجاجة,32,قطاع البوكر,11,الإعصار,11,الحقيقة أو الجرأة,3,بيرة بونج
"قم بتسمية شيء قد تكون ""على رأسه"".",33,العالم,26,العمل/المدرسة,16,الجبل/التل,12,لعبتك,4,فواتير
إلى جانب كتاب - أخبرني عن هدية جيدة لشخص يحب القراءة.,35,ماج./الاشتراك,23,كتاب الضوء,21,القارئ الإلكتروني,7,إشارة مرجعية,3,رف الكتب
قم بتسمية المكان الذي ستجد فيه مُرشدًا.,30,مكان العبادة,26,قِرَان,22,مسرح السينما,13,جنازة,7,حفلة موسيقية
قم بتسمية نشاط داخلي تقضي وقتًا أطول في القيام به في الشتاء.,42,مشاهدة التلفزيون/الفيلم,34,قراءة,9,ممارسة الألعاب,8,نائم,3,طبخ
اسم الحيوان الذي يشبهه الشخص ذو الأسنان الكبيرة.,34,سمور,22,حصان,18,أرنب,14,النمر / الأسد,10,حمار
قم بتسمية شخصية في ساحر أوز والتي تتطلب الزي الأكثر تفصيلاً.,41,تين مان,29,الأسد,11,الفزاعة,8,الساحرة الشريرة,7,دورثي
قم بتسمية شيء قد يجده أحد ركاب الخطوط الجوية أنه لا يوجد ما يكفي منه على متن الطائرة.,39,طعام,25,غرفة الساق,16,مقاعد,12,الوسائد / البطانيات,8,مشروبات
قم بتسمية شيء تراه يفعله القرد المدرب في المسلسلات الكوميدية والأفلام.,38,الرقص,22,الحديث,18,أكل الموز,15,تدخين,5,القيادة
قم بتسمية مكان لا يريد الناس أن ينتهي بهم الأمر فيه,52,سجن,22,ميت,17,جحيم,2,بلا مأوى,2,القمامة
قم بتسمية حيلة معينة ربما لا يقوم بها معظم أبطال أفلام الحركة بأنفسهم,42,سافر,29,القفز من المبنى,17,تحطم سيارة,5,تحمل النار,3,تقلب
اسم دولة كبيرة حقا.,62,تكساس,24,كاليفورنيا,6,ألاسكا,4,نيويورك,2,فلوريدا
ما الذي يمكنك رسمه على صورة وجه شخص ما لتجعله يبدو سخيفًا؟,63,شارب,12,لحية,11,الأنف الكبير,7,قرون,6,نظارات
قم بتسمية شيء تحتاجه إذا كنت تريد لعب لعبة كرة الماء.,49,حمام سباحة,28,كرة,12,ملابس السباحة,4,شبكة,2,نظارات واقية
اذكر السبب الذي يجعل الصبي المراهق يرتدي بدلة.,43,قِرَان,24,كنيسة,15,حفلة موسيقية,11,جنازة,5,تخرُّج
ما هو نوع العمل الذي يجب أن تقوم به إذا كانت تسريحة شعرك قاسية ومغطاة بمثبت الشعر؟,30,سياسي,25,نموذج,20,مذيع أخبار,15,ممثل,4,مصفف شعر
قم بتسمية شيء تكره أن تنساه أثناء رحلة التزلج.,55,الزلاجات,21,معطف,13,قفازات,5,أحذية,4,قبعة
قم بتسمية حيوان مشهور من شريط فكاهي.,33,غارفيلد,29,سنوبي,13,مارمادوك,11,هيثكليف,11,هوبز
قم بتسمية نوع العمل الذي قد يتعين عليك العمل فيه خلال العطلات.,33,بيع بالتجزئة,26,ضابط شرطة,15,مهنة الطب,13,العمل البريدي,8,صناعة الفنادق
قم بتسمية طريقة يستخدمها الأشخاص عند تحديد أرقام اليانصيب التي سيلعبونها.,85,عيد ميلاد,3,عنوان,3,أرقام عشوائية,2,تاريخ الذكرى,2,رقم بطاقة الهوية
قم بتسمية مكان في جسمك قد يكون مؤلمًا بعد يوم من التجريف.,41,الأسلحة,35,خلف,10,الأيدي,7,أكتاف,3,الساقين
قم بتسمية فصل يقوم الآباء بتسجيل أطفالهم فيه قبل أن يبلغوا 3 سنوات من العمر.,40,سباحة,34,الرقص,10,فن,8,الجمباز,3,موسيقى
إذا كنت أحد الوالدين - قم بتسمية شيء تأخذه في الاعتبار عند الانتقال,47,المدارس,23,ساحة,13,غرف النوم/الحمامات,10,الحي/الاطفال,4,بالقرب من الملعب
اذكر سببًا وراء حصول الأطفال على إجازة من المدرسة خلال أيام الأسبوع.,38,إجازة عامة,27,يوم الثلج,26,مريض,4,مؤتمر المعلم,3,في إجازة
قم بتسمية شيء باهظ الثمن لتحل محله إذا فقدته.,44,مجوهرات,20,يشاهد,17,الهاتف الخلوي,7,منزل,6,زوج من النظارات
قم بتسمية مقالة عن الملابس التي يرتديها الناس.,35,بدلة,26,التكس,16,فستان زفاف,15,سترة,8,بنطال
قم بتسمية قطعة من الملابس التي قد يطلب المطعم من عملائه ارتداءها.,36,قميص,19,أحذية,17,رَابِطَة,15,معطف رياضي,8,بنطال
ما الذي قد يتركه شخص ما من إعلان شخصي، والذي قد يجعلك تعتقد أنه كان يخفي شيئًا ما؟,44,عمر,36,وزن,6,الحالة الاجتماعية,6,جنس,5,صورة
قم بتسمية شيء قد يفعله الرياضي المحترف للتحضير للمباراة.,42,تمتد,35,تسخين,9,تأمل,4,تناول الطعام بشكل جيد,4,الكثير من النوم
قم بتسمية مهنة تعتقد أن وقتها أكثر أهمية من وقتك.,47,طبيب,25,محامي,13,المدير التنفيذي.,6,مصرفي,3,ضابط شرطة
قم بتسمية شيء تتمنى وجوده في الفناء الخلفي لمنزلك,61,حمام السباحة,13,حديقة,10,ملعب,6,حوض استحمام ساخن,4,بركة
قم بتسمية شيء يرغب الناس في تحطيمه.,32,الصدار,26,اطرح,20,زر,15,علامة الاسم,5,الشريط
إذا لم يكن لديك أسنان - أخبرني عن الطعام الذي لن تستطيع تناوله بعد الآن.,35,الذرة على قطعة خبز,23,التفاح,18,شريحة لحم,12,حلوى,10,ضلوع
اذكر سببًا يجعلك تغادر متجر البقالة إلى الأبد.,54,طوابير طويلة,16,التسوق مع الاطفال,13,مزدحم,10,الدردشة,4,مبيعات
بخلاف الحزام - قم بتسمية شيء يمكن أن يكون له إبزيم.,47,الحذاء/التمهيد,28,مقعد السيارة,11,حقيبة/محفظة,6,معطف,5,حالة البدلة
أخبرني بمقال عن الملابس التي من المرجح أن يمتلكها الأشخاص الذين يعيشون في مناخات دافئة.,48,سراويل,30,بدلات السباحة,9,شباشب,7,قمم للدبابات,4,قمصان
قم بتسمية شيء محرج لا ترغب في القيام به أثناء النوم على متن الطائرة,44,شخير,29,سال لعابه,12,تمرير الغاز,9,رعشة / سقوط,3,التحدث في النوم
قم بتسمية شيء لا يريد السكرتير أبدًا أن ينفد منه في المكتب.,41,ورق,23,الأقلام / الحبر,12,قهوة,11,المواد الغذائية الأساسية,7,وقت
اذكر شيئًا قد يشكو منه مصفف الشعر بشأن أحد العملاء.,31,الشعر القذر,27,النصيحة,14,تتحرك دائما,13,متأخر,9,صعب الإرضاء للغاية
قم بتسمية شيء يتحقق منه الأشخاص مرة واحدة على الأقل يوميًا.,37,بريد إلكتروني,31,وقت,11,صندوق البريد,10,شعر,6,البريد الصوتي
ما الذي يجب على موظفي الوجبات السريعة فعله - ولا يفعله موظفو الانتظار من فئة 5 نجوم؟,34,يطبخ,31,ينظف,20,العمل من خلال القيادة,6,استخدام السجل النقدي,4,ارتداء الزي الموحد
قم بتسمية الضوضاء التي تجعل كلبك ينبح عندما يسمعها على شاشة التلفزيون.,29,جرس الباب,23,نباح الكلاب,22,قطة,14,صفارة الإنذار,6,صافرة
قم بتسمية شيء لا ترغب في اكتشافه في سرير الفندق عند تسجيل الوصول إلى غرفتك.,46,البق / القوارض,32,أشياء الشعوب الأخرى,10,ملاءات قذرة,6,شعر,3,شخص
اذكر شيئًا قد تضعه فوق السلطة.,45,خلع الملابس,24,خبز محمص,22,جبن,5,الفاكهة,4,لحم خنزير مقدد
اذكر شيئًا قد يحاول الرجل إخفاءه خلال الموعد الأول.,37,وشم,27,حَبُّ الشّبَاب,19,بقعة أصلع,7,خاتم الزواج,5,بطن
اذكر شيئًا قد يكون الشخص صعب الإرضاء بشأنه.,58,طعام,19,ملابس,9,تصفيفة الشعر,5,مواعدة,3,سيارة
اذكر شيئًا ينظفه عمال النظافة في المنزل أكثر مما تفعله (أكثر تحديدًا من الغرفة),39,مرحاض,21,ويندوز,21,أرضية,10,موقد / فرن,6,مروحة سقف
اذكر طريقة يمكن أن يتغير بها صوت الرجل عند التحدث إلى من تحب.,33,يعمق,33,أكثر ليونة,16,التأتأة العصبية,7,درجة أعلى,6,كسر
اذكر مكانًا في منزلهم يخفي فيه الناس الأموال.,49,تحت الفراش,24,درج تسريحة,9,جرة كوكي,7,خزانة,5,الفريزر
قم بتسمية مخلوق صغير يمكن أن يكون صاخبًا جدًا.,38,لعبة الكريكيت,28,طائر,15,تشيهواهوا,11,قطة,5,ضفدع
اذكر شيئًا خطيرًا يفعله معظم الناس مرة واحدة على الأقل في حياتهم.,40,القفز بالمظلات,27,سافر,15,تزوج,7,قفزة بنجي,6,مقامرة
اذكر علامة قد تتحول صديقتك إلى حورية البحر.,39,ينمو الذيل,20,إنها تسبح كثيرًا,15,الحصول على المقاييس,12,دائما في الماء,8,الخياشيم
اذكر شيئًا يحاول الرجال التستر عليه.,59,شأن,15,الصلع,8,يكذب,8,فواتير / المال,4,شعر رمادي
ما هو جزء الجسم الأكثر أهمية بالنسبة للنجم للحفاظ عليه؟,46,وجه,34,معدة,6,الساقين,5,بعقب,4,شعر
اذكر شيئًا يضيء في الليل.,42,النجوم,36,قمر,9,إنارة الشوارع,4,ذباب النار,3,المصابيح الأمامية
اذكر شيئًا قد يتركه أغبى لص بنك في العالم في مسرح الجريمة,33,المسروقات,22,بطاقة تعريف,20,بصمات الأصابع,14,محفظة,5,بندقيته
قم بتسمية شخصية كرتونية تتأذى دائمًا.,44,وايل إي كويوت,18,دافي داك,17,توم / جيري,8,الشيطان تسمانيا,7,حكة وخدش
قم بتسمية نشاط قد تقوم به أثناء قضاء شهر العسل في هاواي.,41,تصفح,29,السباحة,10,اشنركل/الغوص,9,رقصة الهولا,6,لوا
قم بتسمية المسمى الوظيفي الذي قد يكون لدى شخص ما في شركة كبيرة.,39,المدير التنفيذي,29,رئيس,16,نائب الرئيس,8,مشرف,3,مدير
قم بتسمية الطبقة التي تضعها على كل من البيتزا والتاكو.,44,جبن,23,لحم البقر / السجق,20,طماطم,6,زيتون,4,البصل
قم بتسمية شيء يقول الجميع أنهم جيدون فيه عند إجراء مقابلة عمل، حتى لو كان كذبة.,31,أجهزة الكمبيوتر,29,مهارات الناس,17,الالتزام بالمواعيد,15,تعدد المهام,5,منظمة
قم بتسمية نشاط يحب الناس القيام به في البحيرة.,45,صيد السمك,19,القوارب,14,سباحة,13,التزلج على الماء,3,نزهه
اذكر شيئًا قد تجده في ملعب جولف مصغر.,54,كرة الجولف,23,طاحونة هوائية,6,كوب,6,وضع اللون الأخضر,4,تسكع
اذكر شيئًا قد يجد الطفل ذو الذراع المكسورة صعوبة في القيام به في المدرسة.,57,كتابة,18,ممارسة الرياضة,7,حمل الأشياء,4,الذهاب إلى الحمام,3,رفع اليد
اذكر شيئًا تحتاجه أخصائية تجميل الأظافر للقيام بعملها.,60,ملف الأظافر,26,طلاء الأظافر,6,المخزن المؤقت,5,كرات القطن,3,مقص
لأي سبب قد تشك في أن الشخص الذي تواعده موجود في الغوغاء؟,44,يحمل بندقية,23,الكثير من المال,20,اللهجة الإيطالية,7,ملابس سوداء,4,كتوم
قم بتسمية قطعة من معدات لعب الأطفال التي من المحتمل أن يؤذي الكبار أنفسهم عند استخدامها.,35,قضبان القرد,28,شريحة,27,يتأرجح,5,مرح الذهاب جولة,3,متأرجحة
في الماضي أو الحاضر، قم بتسمية الزوجين الرئاسيين الذين ترغب في التنصت على محادثات العشاء الخاصة بهم.,36,آل كلينتون,30,عائلة أوباما,13,بوش الابن ولورا,10,ريغان,6,كينيدي
قم بتسمية شيء قد يفعله شريكك كأول شيء في الصباح يوقظك.,42,دش,26,قبّلني,12,فرشاة الأسنان,9,تجاهل التنبيه,6,قم بتشغيل الضوء
إذا كنت قد ركضت للتو في ماراثون، فماذا عليك أن تفعل بعد انتهاء السباق؟,49,اشرب الماء,34,استراحة,9,دش,4,تمتد,3,استخدام الحمام
أخبرني بشيء يجعلك غاضبًا عندما تشاهد التلفاز.,30,الإعلانات التجارية,28,ضجيج الخلفية,18,يرن الهاتف,15,استقبال سيء,7,عنف
اذكر شيئًا قد ترى صورة له على بطاقة بريدية من هاواي.,29,أشجار النخيل,27,شاطئ,17,ماء,15,امرأة هاواي,7,بركان
ما نوع زبدة الجوز التي يمكنك استخدامها إذا كان لديك حساسية من الفول السوداني؟,52,لوز,17,البندق,10,الصويا,9,الكاجو,9,الجوز
اذكر اسم حيوان يمكنه العيش في البرد.,62,الدب القطبي,22,البطريق,5,ختم,4,ذئب,2,الفظ
سألنا 100 امرأة: في أي عمر يكون الرجل أكثر وسامة؟ (الأرقام فقط),37,30,30,40,17,25,6,35,4,20
اسم نوع من الهرم.,42,الهرم المصري,31,الهرم الغذائي,10,مخطط الهرم,9,الهرم المشجعات,5,الهرم 100-000 دولار
اذكر شيئًا قد تكون المرأة حمقاء إذا وضعت المكياج قبل أن تفعله.,34,سباحة,28,الاستحمام,14,الذهاب إلى النوم,12,غسل وجهها,7,التمارين الرياضية
قم بتسمية شيء يكرهه موظف توصيل البيتزا في وظيفته,47,نصائح سيئة,16,كلاب,14,القيادة,14,العثور على منزل,8,المناطق السيئة
قم بتسمية مقالة ملابس الأطفال التي يصاب بها البالغون أكثر من غيرها عندما يرون حجمها الصغير.,59,أحذية / الجوارب,17,حفاضات,11,نيسيي/بيجاما,7,تي شيرت,3,مريلة
ما هي بعض الأشياء التي يرسلها الأشخاص عبر البريد الإلكتروني والتي اعتادوا إرسالها عبر البريد؟,37,خطاب,23,الصور,16,بطاقات,10,الدعوات,8,فواتير
قم بتسمية شيء ترتبط به مع فريق دالاس كاوبويز.,60,المصفقين,26,كرة القدم,3,تروي أيكمان,2,الأبطال,2,بلو ستار
قم بتسمية شيء يحرقه الناس احتجاجًا.,61,أعلام,21,حمالات الصدر,7,بطاقات المسودة,6,علامات,2,كتب
قم بتسمية قطعة من الملابس تحاول بعض النساء ارتداءها ضيقة قدر الإمكان,60,الجينز / السراويل,13,القرف / سترة,11,تنورة / فستان,6,irdle,5,حمالة الصدر
اذكر شيئًا مرهقًا يفعله الأزواج معًا,29,يجادل / الاستشارة,27,إدارة الأموال,21,تربية الاطفال,12,التخطيط لحفل زفاف,8,شراء منزل
قم بتسمية شيء مرتبط بـ Zorro,42,قناع,30,سيف,14,ز,5,حصان,4,كيب
قم بتسمية نوع من المحترفين الذين قد يتقاضون رسومًا زائدة إذا كنت لا تعرف أي نوع أفضل منه.,42,ميكانيكي,23,محامي,19,طبيب / طبيب أسنان,6,سباك,5,مندوب مبيعات سيارات
إذا كنت أحد المشاهير في أحد الأيام، فاذكر اسمًا للمكان أو الحدث الذي تحاول المشاركة فيه.,62,عرض الجوائز,14,البيت الأبيض,10,ملهى ليلي لكبار الشخصيات,8,حفلة موسيقية/خلف الكواليس,4,حفلة المشاهير
اذكر شيئًا يعرفه الناس عن ريتشارد نيكسون,41,ووترغيت,28,استقال,8,أنا لست المحتال,8,ذهبت إلى الصين,8,خطاب لعبة الداما
اذكر شيئًا يمكن أن يفعله موظف يجلس في الحجرة المجاورة لك ويزعجك.,35,محادثات بصوت عال جدا,29,اضغط على القلم/قلم الرصاص,14,يغني,10,سعال,6,مضغ العلكة
قم بتسمية شيء ترتديه معلمة رياض الأطفال للعمل ولا يرتديه المصرفي أبدًا,43,جينز,34,ساحة,9,أحذية التنس,5,تي شيرت,3,مقاعد ملونة
قم بتسمية مكان ترى فيه الكثير من العشب الأخضر.,45,ملعب للجولف,21,حديقة,15,مزرعة,7,الضواحي,6,دولة
قم بتسمية الطعام المريح الذي يحتوي على الجبن بداخله/عليه.,47,بيتزا,21,ماك والجبن,10,جبنة مشوية,9,ناتشوز,9,المفرقعات
ما هو طبق عيد الشكر الذي من شأنه أن يحدث أقل ضرر إذا تم إلقاؤه عليك في معركة طعام؟,41,ديك رومى,22,حشو,19,البطاطس المهروسة,8,فطيرة,7,صلصة التوت البري
"تسمية فيلم بكلمة ""دكتور"" في العنوان.",32,دكتور دوليتل,26,دكتور زيفاجو,15,دكتور هو,13,دكتور رقم,12,الدكتور جيكل / السيد. هايد
قم بتسمية طريقة يمكنك من خلالها معرفة أن العاصفة قادمة,61,الغيوم الداكنة / السماء,18,البرق,5,تغييرات الرياح,4,يشم,3,رذاذ
أخبرني عن شيء يجعل الجلد يتحول إلى اللون الأحمر.,37,حروق الشمس,25,طفح جلدي/حساسية,18,إحراج,11,الكحول,6,يمارس
"إذا كنت ستفتح فندق ""Heartbreak Hotel-""، فاذكر شيئًا ستقدمه لضيوفك المنكسري القلوب.",35,الشوكولاتة/الحلويات,23,الحب / الشركة,15,مشروب,12,منديل,6,زهور
اذكر سببًا يجعل طفلًا معينًا مشهورًا في المدرسة,29,حسن المظهر,28,رياضي جيد,18,ثري,16,يرتدون ملابس جميلة,3,ودي
قم بتسمية شيء يحتوي على قفل عليه,67,باب,13,آمن,8,سيارة,3,خزانة,3,بوابة
قم بتسمية الدولة التي عادة ما تحقق نتائج جيدة في الألعاب الأولمبية.,73,الولايات المتحدة,15,روسيا,5,الصين,4,انجلترا,3,ألمانيا
اذكر شيئًا يكره المراهق أن يكون آخر أصدقائه يفعله.,38,يقود,30,تاريخ,13,متخرج,11,ضرب البلوغ,5,احصل على هاتف
ما الذي قد تفعله في الخلاف العائلي، مما يجعل عائلتك منزعجة منك؟,54,إعطاء إجابات خاطئة,23,تفقد المال السريع,8,يصرخ,5,يُقسم,4,لا تعطي إجابة
قم بتسمية شيء تستخدمه لتزيين وجهك في عيد الهالوين,64,طلاء,19,قناع,5,الدم الزائف,4,أنف المهرج,3,بريق
ما الذي يمكن أن يجده مفتش الصحة في أحد المطاعم والذي يتسبب في حصوله على نتيجة سيئة؟,41,القوارض,27,البق / الصراصير,16,أطباق قذرة,5,قالب,5,شعر
قم بتسمية شيء يقدمه الناس مع البسكويت.,56,المرق,24,سمنة,6,البطاطس المهروسة,5,هلام,5,عسل
قم بتسمية جزء من المعلومات التي تريد تضمينها في إعلان شخصي ولكن ليس في السيرة الذاتية.,57,عمر,13,ارتفاع,12,الحالة الاجتماعية,11,وزن,4,علامة ابراج
قم بتسمية شيء محدد يقلبه الناس,44,عملة,26,فطيرة,13,برجر,8,شعر,6,منزل
اسم هوارد الشهير.,61,هوارد ستيرن,14,هوارد هيوز,8,هوارد كوسيل,6,هوارد جونسون,5,هوارد البطة
اذكر شيئًا من شأنه أن يجعلك متشككًا إذا قال رفيقك أنه لا يوجد لديه أي شيء.,47,مال,21,أصدقاء,15,عائلة,8,السابقين,6,تعريف
قم بتسمية شيء يشترك فيه الأشخاص حسب الشهر,54,مجلة,28,صحيفة,7,كابل,5,نادي رياضي,3,إنترنت
قم بتسمية شيء لا يمتلكه الطفل ويفعله معظم البالغين,49,أسنان,34,شعر,7,سيارة,4,مال,3,وظيفة
قم بتسمية شيء تلوح به في الهواء.,39,الأيدي,24,علَم,13,التوقيع/الشعار,11,طائرة ورقية,6,أخف وزنا
ما هي قطعة معدات الملعب التي ربما أدت إلى أكبر عدد من الإصابات؟,36,يتأرجح,30,صالة الغابة,23,شريحة,4,متأرجحة,4,مرح الذهاب جولة
قم بتسمية حيوان لا يعد عادةً خطيرًا - لكن الكثير من الناس يخشون لمسه,45,كلب,36,ثعبان,6,الظربان,5,ضفدع,5,الفأر
قم بتسمية شيء تحتاجه عند الانتقال.,44,شاحنة متحركة,33,صناديق,12,دوللي,6,أصدقاء للمساعدة,4,المحركون
قم بتسمية مقبلات قد تجدها مقدمة في البار,36,الفول السوداني,21,أجنحة الدجاج,19,المعجنات,9,الفشار,9,ناتشوز
بخلاف القماش - قم بتسمية الشيء الذي تضع الطلاء عليه.,39,حائط,33,منزل / مبنى,13,وجه,8,الشرفة / السياج,4,الأظافر
اذكر السبب الذي قد يدفعك إلى الحصول على تغيير مقابل دولار واحد,47,إجراء مكالمة هاتفية,38,آلة البيع,5,عداد مواقف السيارات,4,أجرة الحافلة,3,ماكينة الصحف
قم بتسمية أحد أعضاء نخبة المشاهير المشهورين دون سبب واضح.,38,باريس هيلتون,18,كيفن فيدرلاين,16,دونالد ترامب,14,كيم كارداشيان,12,نيكول ريتشي
اذكر شيئًا قد يفعله السائق عندما يرى سيارة شرطة.,67,ابطئ,10,قف بجانب الطريق,9,وضع حزام الأمان,7,تشغيل في الاتجاه الآخر,5,ذعر
قم بتسمية أحد اللوازم المكتبية التي ستتفاجأ برؤيتها ضمن قائمة اللوازم المدرسية الخاصة بطفلك.,35,حاسوب,27,دباسة,18,ناسخة / فاكس,5,المغلفات,5,مقاطع الورق
إلى جانب تذكرة الطائرة الخاصة بك، قم بتسمية شيء يمكنك إنفاق المال عليه في المطار,44,طعام/شراب,27,مجلة / ورقة,11,الهدايا التذكارية,9,رسوم الأمتعة,6,وقوف السيارات
قم بتسمية شيء تنقر عليه.,34,قدم,16,طاولة,16,الأصابع,12,طبل,12,قلم رصاص
ماذا ستتفاجأ عندما ترى طفلاً يفعل في صالة البولينغ؟,66,احصل على ضربة,12,تدخين,10,الشرب,6,نائم,3,لعبة مثالية
قم بتسمية الباب الذي تكره تركه مفتوحًا عن طريق الخطأ,37,الباب الأمامي,35,باب السيارة,13,باب الحمام,7,آمن,5,حيوان أليف
ما الذي يستخدمه رجل الأعمال عند إلقاء الخطب، لكن القساوسة لا يستخدمونه أثناء خطبهم؟,55,بطاقات الملاحظات,14,جدول,11,المؤشر,11,عرض تقديمي,7,جهاز عرض
قم بتسمية شيء يتطلع إليه الأطفال,41,أجازة,29,عيد الميلاد,13,عيد ميلاد,5,الهدايا,5,العطلة
قم بتسمية جزء من المعلومات التي قد تكون موجودة على علامة الكلب.,42,اسم,22,عنوان,21,رقم التليفون,11,اسم المالك,2,جائزة
قم بتسمية مهنة محددة حيث يرتدون أحذية رياضية.,55,لاعب كرة السلة,15,مدرب,14,لاعب تنس,6,ممرضة,4,عداء
اذكر شيئًا قد يفعله الحيوان الأليف بأحذية مالكه.,54,مضغ / لدغة لهم,28,تخفيف أنفسهم,7,إخفاءهم,7,سال لعابه / لعق لهم,3,شمها
اذكر شيئًا عنك لم يتغير مع تقدمك في السن,41,الشخصية / الموقف,34,عيون,11,اسم,6,روح الدعابة,5,يبتسم
إذا كنت تصمم مطارًا - قم بتسمية شيء ستتأكد من وجود الكثير منه.,30,الحمامات,24,مدارج الطائرات,22,الكراسي,10,أجهزة الكمبيوتر,8,مناطق التدخين
قم بتسمية شيء يمكن نحته في منحوتة جليدية لعيد الميلاد.,39,الملاك / الشكل الديني.,24,شجرة,15,سانتا / الرنة,8,طيور البطريق / الحيوانات,5,ندفة الثلج
اذكري الأسباب التي قد تجعل الرجل يتأخر في التقدم لخطبة صديقته.,38,متوتر,33,لا مال,17,غير جاهز,6,غير متأكد,5,شخص آخر
قم بتسمية شيء يحتاج إليه Deejay للعب الحفلة.,34,موسيقى,23,القرص الدوار,16,ميكروفون,12,كمبيوتر محمول / آي بود,9,نظام الصوت
قم بتسمية الوظيفة التي ستعود منها إلى المنزل برائحة طيبة حقًا.,41,بيكر,32,بائع العطور,14,بائع الزهور,9,الشيف,3,موظف سبا
قم بتسمية شيء يفعله الناس بالبنسات.,68,احفظهم,12,رمي في نافورة,9,نشمر عنها,3,رميهم بعيدا,3,اقض عليهم
أخبرني عن السبب الذي قد يجعلك تعاني من قلة النوم.,44,مرهق,26,أطفال/مولود جديد,13,لا أستطيع النوم,6,مريض,5,دراسة
قم بتسمية شيء تمتلكه أوبرا وينفري وتعجب به المرأة العادية.,49,مال,15,برنامج حواري,12,احترام الذات,11,الكاريزما,8,أسلوب
ما الذي يمكن أن يرتديه لص البنوك من أجل الحفاظ على سرية هويته؟,58,قناع,13,قفازات,10,شعر مستعار,8,قبعة,5,النظارات الشمسية
قم بتسمية طعام باهظ الثمن لن تقدمه في حفلة عيد ميلاد طفلك,31,كافيار,27,فيليه مينون,24,سرطان البحر,8,جمبري,7,سوشي
قم بتسمية متجر متعدد الأقسام حيث يتسوق الناس خلال العطلات.,38,وول مارت,37,ميسي,13,سيرز,5,جي سي بيني,2,هدف
قم بتسمية شيء يجب عليك دائمًا حمل المزيد منه عند السفر بالطائرة.,38,مال,23,تغيير الملابس,17,وجبات خفيفة,10,علكة,7,منديل
ما الذي قد تجده في طعامك الذي يخص الطباخ؟,46,شعر,23,جرس,17,ظفر,5,ضمادة,3,الأسنان
قم بتسمية نوع البرنامج التلفزيوني الذي لا ترغب في رؤية جدتك عليه,33,تلفزيون الواقع,33,برنامج حواري,14,عرض المواعدة,9,الدراما الرومانسية,5,جريمة حقيقية
قم بتسمية شيء يأخذه الناس معهم لجعل الرحلة الطويلة بالسيارة تسير بشكل أسرع.,38,موسيقى,27,قراءة المواد,14,ألعاب,10,وجبات خفيفة,5,تلفزيون/فيلم
"اسم كلمة أخرى ل ""قبيح"".",25,إجمالي,23,البشعة,18,عائلي,15,مقرف,14,غير جذاب
أين تبحث في منزلك عن شيء تم تعبئته لفصل الشتاء؟,41,علية,32,خزانة,15,الطابق السفلي,6,المرآب,4,تحت السرير
عندما تعيش في شقة - قم بتسمية شيء يمكنك سماع جيرانك يفعلونه في كثير من الأحيان.,51,القتال,24,الحديث,12,مشاهدة التلفزيون,5,الحفلات,3,التنظيف بالمكنسة الكهربائية
قم بتسمية الخدمة التي يقدمها لك الفندق في منزلك.,42,خدمة الغرف,33,حفظ المنزل,13,تدليك,7,مغسلة,5,خادم
قم بتسمية الطريقة التي يذهب بها الأشخاص إلى العمل في الصباح.,44,سيارة,20,وسائل النقل العام,15,مرافقي السيارات,10,دراجة,5,يمشي
اذكر شيئًا كان المزارعون يفعلونه يدويًا قبل 100 عام، لكنهم يفعلونه الآن باستخدام الآلات.,36,حرث الميدان,24,بذور النبات,23,أبقار الحليب,11,حصاد المحاصيل,5,المحاصيل المائية
قم بتسمية رياضة يفقد فيها اللاعبون أسنانهم.,49,الهوكي,33,ملاكمة,10,كرة القدم,4,البيسبول,2,مصارعة
اسم الاغنية الوطنية,35,نجمة متلألئة,25,بارك الله في أمريكا,15,ولد في الولايات المتحدة الأمريكية,12,عامر الجميل,7,يانكي دودل
قم بتسمية شيء يضعه الناس على الجزء الخارجي من سيارتهم.,29,الشمع,28,ملصق,15,لوحة الترخيص,15,غطاء,5,هوائي
ما هو الطبق التقليدي الذي يمكنك تحضيره لشخص يتعلم عن الثقافة الأمريكية؟,39,همبرغر,20,دجاج مقلي,17,بيتزا,13,نقانق,8,فطيرة التفاح
