Question,score1,Answer 1,score2,Answer 2,score3,Answer 3,score4,Answer 4,score5,Answer 5
Name An Occasion That Dracula Is Almost Always dressed For,54,Halloween,18,Funeral,16,Formal Dinner,5,Costume Ball,5,Wedding
Name Something In Your car That Can Be turned On And Off,26,Radio,24,Engine,22,Lights,12,Heater/Ac,5,Wipers
Name Something That gets fueled,57,Car,25,Planae,7,Fire,5,Anger/Temper,3,Body
Name A type Of Work Vehicle That’s Often seen As A Children’s Toy,43,Dump Truck,34,Fire Engine,10,Tractor,6,Police Car,3,Bull Dozer
Name A reason You Might Be Less Productive Then Usual At Work,40,Tired,25,Sick,12,Hung Over,6,Stressed,3,Computer Trouble
Name Something A Parent Might Put A Lock Or Gate On Once Their Baby Learns to walk,40,stairs,26,Door,11,Swimming Pool,10,Cabinets,6,Crib
Name Something Kids Start To Care More About Once They’re Teenagers,38,Looks,23,Clothes,13,Dating,12,Money,5,Driving
Name something Specific A Married Couple Might Take Turns Doing,42,Dishes,27,Cooking,10,Laundry,8,Watching Kids,4,Driving
Other Than Gambling- What Do Casinos Have Inside To Get Customers To Stick Around,45,Cocktails,33,Food,6,Bright Lights,6,Beautiful Women,4,Entertainment
Name something Many Women Regularly Buy For Their Husbands- But Men Don’t Buy For Their Wives ( More specific Then Clothes),38,Underwear,26,Socks,15,Cologne,12,Tools,8,Groceries
Name Something You’re Better Off Spending A Little More On- So It Lasts Longer,44,Car,29,Clothes,15,TV,7,House,3,Haircut
Name A Place You Would’t Want To Be Alone At Night,37,Alley,16,Graveyard,16,Woods,16,Park,12,Home
Name A Word that people Yell At The TV While watching A Football Game,39,Go,25,Run,13,Touchdown,5,Foul,3,Idiot
What Do You Do To Help Out The Less Fortunate At The ,44,Give Money,24,Donate Canned Goods,12,Serve Meals,8,Donate Toys,4,Invite To Dinner
Name Something You’d Expect To Pay For At Disneyland,38,Food,28,Admissions,6,Souvenirs,5,Toys,2,Parking
Name Something That Can Be Easily Be turned Off,45,Lights,36,TV,6,Oven Radio,6,Radio,5,Partner
Name A reason Why A Dog Barks,43,Stranger At Door,18,Hungry,16,Sees A Cat,10,Hears A Loud Noise,7,Sees Another Dog
What Might You See On The Side Of The Road,40,Roadkill,16,Garbage,14,Hitchhiker,13,Trees,8,Sign
Tell Me A Reason You Like To Shop On Line,35,Easy,27,Cheaper,18,No lines,10,Faster,6,Stay At HOme
When Shopping For A New Pair Of Jeans- Name Something that Never Fits Quite Right,34,Waiste,28,Length,20,Backside,7,Hips,6,Thighs
Name Something Every College Freshmen Will Spend Money On,41,Books,21,Food,17,Beer,8,Computer,3,Tuition
Name A Household Chore That You Do Less Frequently Because It’s Barely Noticeable When It’s Done,39,Dust,25,vacuum,13,Sweep,1,Mop,10,Wipe Windows
What occupation Might Someone Have That Makes You Think They’d Have A Flair For Romance,19,Wedding Planner,18,Match Maker,16,Actor,16,Dancer,15,Writer
If There Was No Speed Limit- How Fast Would You Drive On The Way To Work each Morning (Round To Ten)?,30,100MPH,29,80 MPH,19,70 MPH,11,90 MPH,8,60 MPH
Name Something That Makes A Startling Sound,43,CAR HORN,18,GUN SHOT,17,THUNDER,12,SIREN,7,ALARM
Name A Place Where It’s Okay To Be Loud,48,Concert,16,Outdoors,14,Bar,11,party,9,Athletic Event
Name Something Naughty That A Grandpa Might Secretly Let His grandson get Away With,26,Looking At girls,22,Sipping Beer,21,Eating Sweets,20,Staying Up Late,8,Bad Language
Name Something You Use To Cover Up Bad Smells In Your House,48,Air Freshener,38,Candles,6,Perfume,3,Incense,3,Baking Soda
Name Something A Man Might Do In The Beginning Of A Relationship That He Won”t Do After About A Year,47,BUY FLOWERS,29,OPEN DOORS,9,KISS,7,HOLD HANDS,5,BE NICE
Name A Reason You May leave A Blind Date Without Saying Goodbye,35,Not Attracted,29,Rude,16,No Sparks,14,Bad Breath,4,Boring
Tell Me Something A Woman Might Do To Spoil Herself (More Specific Than “Spa”,38,Shopping Cart,24,Manicure,20,Hair Salon,11,Massage,6,Bubble Bath
Name A Place Where You Can See Teachers Relaxing,58,TEACHERS LOUNGE,12,BARTENDER,9,HOME,8,LIBRARY,6,CAFETERIA
name Something restaurants Have In Them To Appear Fancier,33,Table Linens,28,Fancy Food,20,Candles,9,Wine List,8,Chandelier
Tell Me A Food That Goes Great With Beer,40,Pizza,22,Nuts,17,Pretzels,14,Chips,4,Chicken Wings
Who Would A Bride Not Want To Show Up Unannounced At Her Wedding?,33,Ex,22,Enemy,16,Boss,12,Affair,4,Cops
Name A Specific Task Restaurant Staff Does For You- That You’d Be Surprised To Get Charged Extra For,51,Bring Water,27,Refill glasses,10,Serve Food,5,Clear Table,5,Dishes
Name Someone Who’s Known For Inventing Something,32,Albert Einstein,32,Thomas Edison,18,Ben Franklin,13,Alexander Graham Bell,3,Eli Whitney
Name Someone You’d Hate To Show Up Late At Your Wedding,36,Groom,35,Bride,17,Clergy,6,Best Man,5,Father
name Something Every Woman Should Take With Her On A Blind Date,44,Cell Phone,21,Money,12,Mace,4,Own Transportation,4,Friend
Why Might A Bride Or Groom Back Out Of Wedding At The Last Minute,69,Cold Feet,13,Cheating,9,Not In Love,4,Not Ready,3,Had A Fight
Name Something You Might bring Home With From The Mardigras,53,Beads,24,Mask,8,Pictures,7,Food,6,Hangover
Name Something A Lot Of Movie Stars Have More Than One Of,65,Cars,12,Houses,11,Spouses,5,Affairs,4,Kids
Name Something Kids Are Afraid To Get From Their Teacher,43,Bad Grade,25,Detention,17,Homework,6,Test,6,Letter Sent Home
Name One Word You’d See On The Cover Of A Women’s Magazine- But Probably Not On A Magazine For Men,33,Sexy/Hot,25,Makeup,24,Diet,8,Fashion,7,Love
Name Something People Use To Smell Good- But You Wouldn’t Use To Eliminate You Dog’s Odor,41,Perfume,39,Deodorant,9,Lotion,6,After Shave,3,Mouth Wash
Name Something People Juggle,38,Balls,23,Bowling Pins,16,Fruit,8,Job and Home/Duties,4,Multiple Dates
Name Something Every Newlywed Hopes Their Mother-In-Law Will Be,16,Quiet,10,Good Cook,8,Not Nosey,5,Lives Far Away,5,Nice
What One Thing Would You Most Hate To Forget To Pack On A Trip,34,Clothes,30,Toothbrush,21,Money,9,Camera,4,Passport
Name Something About Peter Pan That Is Different From The Average Boy,65,He Can Fly,13,Wears Tights,10,never grows Up,3,Small,3,Pointy Ears
What Is The Best Way To Spend A Snow Day,41,Sleeping,28,Sledding,16,Skiing,6,Watching TV/Movies,6,Reading
What Might You See In An Email That Would Make Yo Think A Teen Wrote It,41,Internet Acronyms,31,Slang,13,Misspelling,7,Swearing,5,Smiley Face
Name something People Try To recite Lines From,31,Movies,22,Poetry,19,Play,14,Religious Scripture,12,Songs
Name Something A Person trying To Quit Smoking Might Put In Their Mouth,75,Chewing Gum,10,Candy,4,Pencil,4,Nicorette,2,Straw
Name Something In A Person’s House A Burglar Wouldn’t Want To Steal,31,Pet,21,Food,19,Underwear,16,Laundry,11,Trash
What Do cats Have the We Don’t Have?,28,Tails,25,Claws,22,Fur,16,Paws,7,9 Lives
Name Something Men Put In Their Shirt Pockets,59,Pen/Pencil,12,Money,6,Handkerchief,5,Glasses,5,Cigarettes
Name Something You Might Do In Front Of A Doctor- But Not In Front Of Most People You’ve Just Met,55,Undress,17,Cry,8,Discuss Heavy Issues,7,Stick Out Tongue,6,Cough
Besides Ice Cream And Popsicles- Name Something You Need To Be A Neighborhood Ice Cream Man,59,Ice Cream Truck,19,Music,9,Cones,8,Freezer,5,Friendly Personality
Tell Me A Name People Use To Describe Someone Who Talks To Much,39,Babbermouth,31,Big Mouth,23,Motormouth,4,Chatterbox,3,Gossip
Tell Me A Breakfast Item That Only Tastes Good If It’s Crispy,46,Bacon,29,French Toast,18,Cereal,3,Waffles,3,Hash Browns
Name A Sport Where You Might See A Lot Of Athletes,61,Football,14,Basketball,11,Baseball,10,Soccer,2,Hockey
Name Something For Which A Police Officer Might Give You A Ticket.,53,Speeding,28,Parking,6,Running Red light,4,No Seatbelt,3,Jaywalking
Name A Halloween Costume You See On Babies- But Rarely See On Their Parents,67,Pumkin,12,Bunny,6,Clown,5,Angel,4,Princess
Tell Me Something You Avoid When You Are Sick,34,Other People,29,Other People,25,Eating,5,Alcohol,5,Smoking
On A Dating Website- What Activity Do People Often List As A Pastime,43,Reading,19,Sports,14,Dancing,10,Hiking,5,watching movies
Which Physical Characteristics Would Tell You That Someone Was Part Alien?,29,Big Eyes,26,Green Skin,18,Big Head,17,Small/Pointy Ears,7,Antenna
Name An Occupation In Which People Often Use Their Middle Name Or Initial.,51,Doctor,25,Lawyer,15,Actor,5,Politician,4,Author
Which Website Would You Go To First If You Want To Find Out More About Something,56,Google,20,Yahoo,10,Wikipedia,8,Ask.com,3,Bing
Name Something Annoying That Cats Do.,42,Meow,41,Scratch,8,Lick Themselves,4,Shed,3,Bite
Name Something Associated With Melanie Griffith.,36,Movies,21,Actress,20,Antonio Banderas,14,Don Johnson,7,Blonde Hair
Name Something That Might Take Place In A Large Tent.,51,Circus,17,Party,14,Wedding,11,Church,7,Camping
Name A Way People Choose The Lottery Numbers They Play.,74,Birthdates,10,Quick Pick,4,Social Security,4,Random,2,Dreams
Name Something A Bankrobber Wants To Get Rid Of Quickly- So It Isn’t Used As Evidence.,32,Weapon,29,Mask,15,Car,13,Bags Of Money,8,Gloves
Tell Me Something A Wife Likes To Hear From Her Husband.,65,I Love You,23,Compliments,2,Missed You,2,Want Breakfast In Bed,2,I Got A Raise
Tell Me A Way In Which Your Office Is Kind Of Like A “Soap Opera.”,46,Gossip,34,Sleeping Around,9,Drama,4,Bickering,2,Jealous
Name Something That Expands In The Microwave.,48,Popcorn Bag,13,Bread,13,Hot Dog,13,Plastic,11,Marshmellow
Name A Place Where The Average Person Wouldn’t Last A Day.,43,Jail,24,Desert,13,Military,11,Frozen Tundra,6,Outer Space
Name Something Teenagers Stress Out About.,38,School,23,Acne/Looks,17,Dating,14,Friends/Clique,6,Parents/Rules
Name Something Important That You’re Careful Not To Misplace When You Move.,42,Keys,25,Passport,18,Wallet/Money,8,Jewelery,5,Phone
Name An Occupation Where The Workdays Are Made Worse By Nasty Weather.,41,Construction,27,Mail Carrier,16,Traffic Cop,11,Bus/Truck Driver,3,Pilot
What Kind Of Bread Would Be Horrible For Making A Sandwich?,33,Banana,25,Garlic,19,Cinnamon Raisin,11,Cornbread,6,Pumpkin/Zucchini
Name Something You Might Find In A Tennis Bag.,62,Tennis Balls,32,Racquet,5,Towel,3,Tennis Shoes,2,Socks
Name A Vegetable That They Make Baby Food Out Of.,41,Carrots,39,Peas,8,Beans,4,Corn,2,Spinach
Name An Organ People Might Have Removed.,43,Kidney,26,Appendix,12,Gall Bladder,8,Lung,5,Spleen
Name Something That Keeps You From Finishing A Jigsaw Puzzle.,46,Missing Piece,33,Time,7,Difficulty,6,Kids,5,Boredom
Name Something That Happens To The Furniture Of A Person Who Owns Pets.,30,Many Scratches,28,Strong Smells,25,Hair All Over,4,Lots Of Stains,4,Chewed Up
Name Something That A Waitress On Roller Skates Would Say Is Her Mortal Enemy. (More Specific Than Food/Drinks),32,Rocks,26,Wet Floor,18,Hot Coffee,13,Cracks/Bumps,7,Condiments/Dressing
Name Something You Buy In A Larger Size If You Have A Large Family.,29,Groceries,27,Toilet Papaer,20,Car,15,House,4,Couch
Name Something You Might Change When Moving Into A New House.,34,Paint/Wallpaper,23,Carpet,17,Contact Information,16,Locks,9,Curtains
Name Something That Gets Described As Festive,45,Party,36,Holiday,9,Food,4,Carnival,3,Decorations
Name Something On Everyone’s Driver’s License.,34,Birth Date,25,Name,18,Address,13,License Number,10,Description
Name A Salad That’s Not Green.,47,Pasta Salad,33,Potato Salad,9,Fruit Salad,5,Taco Salad,4,Egg Salad
Name Something People Turn On Just Before They Get In Bed.,50,Alarm,24,TV,12,Lamp,7,Radio,4,Electric Blanket
Name Something You Might Ask A House Sitter To Do While Staying At Your Place,36,Clean,33,Water Plants,8,Feed Animals,8,Take Out Trash,7,Get Mail
Name A Specific Item That A Man Carries Around That He Might Secretly Wish He Could Just Put In A Purse.,63,Wallet,14,Keys,12,Phone,5,Comb,3,Glasses
Name A Place Where It’d Be Rude For A Man To Go Without Wearing A Suit/Tuxedo.,48,Wedding,21,Funeral,12,Prom,11,Place Of Worship,3,Job Interview
In One Word- What’s The Best Thing About Being Married?,44,Love,34,Intimacy,10,Companionship,6,Money/Security,3,Kids
What Might You Find Out About A House That Would Make You Back Out Of Buying It.,38,Haunted,28,Termites,18,Mold,6,Price Went Up,5,Leaky Roof
Tell Me Something That Can Momentarily Blind You.,52,Sun,30,Bright Light,11,Camara Flash,4,Pepper Spray,3,Love
Name Something That Love Gets Compared To In Pop Songs.,24,Flower,23,Candy,19,Battlefield,18,River,10,Music
Name Something A First-Time Parent Would Need To Do Before The Baby Was Born.,39,Buy a Crib,23,Buy Clothes,21,Buy Diapers,7,Baby Shower,5,Parenting Classes
Name Something In A Woman’s Purse That A Man Would Never Ask To Borrow.,43,Lip Stick,36,Tampons,7,Compact,4,Eyelash Curler,4,Perfume
Name A Job Where You’d Need Great Vision.,31,Pilot,25,Doctor,21,Driver,16,Umpire,7,Police Officer
Name Something You Might Pay Extra For When You Get Your Car Washed.,48,Wax,37,Vacuum,6,Detailing,3,Dry Car,3,Polish
Name A Game Show That Gives Away A Lot Of Money.,57,Millionaire,20,Sunscreen,9,Wheel Of Fortune,8,Family Fued,6,Price Is Right
Tell Me What Kids Hate Most About School.,78,Homework,7,Teachers,4,Getting Up,3,Math,2,Principal
If Someone Is Talking Too Much- What Might You Offer Them In The Hope Of Keeping Them Quiet?,41,Food,26,Gum,17,Money,6,Drink,5,Reading Material
Name A Place Where You Sit Until Your Name Is Called.,34,Doctor’s Office,30,DMV,20,Court,9,Classroom,5,Restaurant
Name Something A Plane Can’t Fly Without.,56,Wings,15,Engine,13,Fuel,8,Tail,5,Rudder
Name Something You’d Find In A Boy’s High School Gym Locker Room.,25,Towels,23,Clothes,19,Lockers,13,Jock Straps,10,Shoes
Name Something You See At A WWE Match You’d Never See At A High School Wresting Match.,26,Blood,26,Violence,12,Characters,12,Costumes,9,Throwing Chairs
Name Something You Might Do On A Date In The Park.,38,Kiss,35,Picnic,16,Walk,6,Hold Hands,3,Use Playground
What Might A Flower Gardener Name His Daughter?,39,Rose,33,Daisy,17,Lily,5,Iris,5,Violet
On A Dating Website- What Activity Do People Often List As A Pastime?,45,Reading,20,Sports,15,Dancing,10,Hiking,5,Watching Movies
Name Something In A Casino That May Give You A Headache.,39,Noise,28,Smoke,15,Flashung Lights,13,Slot Machines,3,Alcohol
Name something for which people shop around before buying,58,Car,12,Clothes,11,House,9,TV,6,Appliances
Name A Breakfast Food You Could Prepare Using Just One Hand.,39,Toast,28,Eggs,23,Cereal,3,Waffle/Pop Tart,3,Bacon
Name A Game That Would Be Inappropriate At A Company Party.,41,Spin The Bottle,32,Strip Poker,11,Twister,11,Truth Or Dare,3,Beer Pong
Name something you might be “on top of”.,33,The World,26,Work/School,16,Mountain/Hill,12,Your Game,4,Bills
Besides A Book- Tell Me A Good Gift For Someone Who Loves To Read.,35,Mag./Subscription,23,Book Light,21,E Reader,7,Bookmark,3,Book Shelf
Name A Place Where You Would Find An Usher.,30,Place Of Worship,26,Wedding,22,Movie Theatre,13,Funeral,7,Concert
Name An Indoor Activity You Spend Much More Time Doing In Winter.,42,Watching TV/Movie,34,Reading,9,Playing Games,8,Sleeping,3,Cooking
Name An Animal That A Person With Large Teeth Resemble.,34,Beaver,22,Horse,18,Rabbit,14,Tiger/Lion,10,Donkey
Name A Character In The Wizard Of Oz That Would Require The Most Elaborate Costume.,41,Tin Man,29,Lion,11,Scarecrow,8,Wicked Witch,7,Dorthy
Name Something An Airline Passenger Might Find There Isn’t Enough Of On The Plane.,39,Food,25,Leg Room,16,Seats,12,Pillows/Blankets,8,Drinks
Name Something You See Trained Monkey’s Doing In Sitcoms And Movies.,38,Dancing,22,Talking,18,Eating Bananas,15,Smoking,5,Driving
Name A Place Where People Don’t Want To End Up,52,Jail,22,Dead,17,Hell,2,Homeless,2,Dumpster
Name A Specific Stunt That Most Action Movie Heroes Probably Don’t Do Themselves,42,Fly,29,Jump From Building,17,Car Crash,5,Endure Fire,3,Flips
Name A Really Big State.,62,Texas,24,California,6,Alaska,4,New York,2,Florida
What Might You Draw On A Picture Of Someone’s Face In Order To Make Them Look Silly?,63,Moustache,12,Beard,11,Big Nose,7,Horns,6,Glasses
Name Something You’d Need If You Wanted To Play A Game Of Water Polo.,49,Pool,28,Ball,12,Swimsuit,4,Net,2,Goggles
Name A Reason A Teenaged Boy Would Have For Wearing A Suit.,43,Wedding,24,Church,15,Prom,11,Funeral,5,Graduation
What Line Of Work Should You Get Into If Your Hairstyle Is Stiff And Plastered With Hairspray?,30,Politician,25,Model,20,Newscaster,15,Actor,4,Hairdresser
Name Something You’d Hate To Forget On A Ski Trip.,55,Skis,21,Coat,13,Gloves,5,Boots,4,Hat
Name A Famous Animal From A Comic Strip.,33,Garfield,29,Snoopy,13,Marmaduke,11,Heathcliff,11,Hobbes
Name A Type Of Business In Which You Might Have To Work Over THe Holidays.,33,Retail,26,Police Officer,15,Medical Profession,13,Postal Work,8,Hotel Industry
Name A Method People Use When Deciding What Lotto Numbers They’re Going To Play.,85,Birthday,3,Address,3,Random Numbers,2,Anniversary Date,2,ID Card Number
Name A Place On Your Body That Might Be Sore After A Day Of Shoveling.,41,Arms,35,Back,10,Hands,7,Shoulders,3,Legs
Name A Class that Parents Enroll Their Kids In Before They Turn 3 Years Old.,40,Swimming,34,Dance,10,Art,8,Gymnastics,3,Music
If You’re A Parent- Name something You Take Into Account When Moving,47,Schools,23,Yard,13,Bedrooms/Bathrooms,10,Neighborhood/kids,4,Near Playground
Name A Reason Why Kids Might Have A Weekday Off Of School.,38,Public Holiday,27,Snow Day,26,Sick,4,Teacher Conference,3,On Vacation
Name Something That’s Expensive To Replace If You Lose It.,44,Jewelry,20,Watch,17,Cell Phone,7,House,6,Pair Of Glasses
Name An Article Of Clothing People Get Fitted For.,35,Suit,26,Tux,16,Wedding Dress,15,Jacket,8,Pants
Name An Article Of Clothing A Restaurant Might Require Its Customers To Wear.,36,Shirt,19,Shoes,17,Tie,15,Sports Coat,8,Pants
What Might Someone Leave Out Of A Personals Ad- That Would Make You Think They Were Hiding Something?,44,Age,36,Weight,6,Marital Status,6,Gender,5,Photo
Name Something A Pro Athlete Might Do To Prepare For A Game.,42,Stretch,35,Warm Up,9,Meditate,4,Eat Well,4,Plenty Of Sleep
Name An Occupation That Thinks Their Time Is More Important Than Yours.,47,Doctor,25,Lawyer,13,C.E.O.,6,Banker,3,Police Officer
Name Something You Wish You Had In Your Backyard,61,Swimming Pool,13,Garden,10,Playground,6,Hot Tub,4,Pond
Name Something That People Have A Desire To Smash.,32,Corsage,26,Broach,20,Button,15,Name Tag,5,Ribbon
If You Had No Teeth- Tell Me A Food You Couldn’t Eat Anymore.,35,Corn On The Cob,23,Apples,18,Steak,12,Candy,10,Ribs
Name A Reason Why It Takes You Forever To Get Out Of The Grocery Store.,54,Long Lines,16,Shopping With Kids,13,Crowded,10,Chatting,4,Sales
Other Than A Belt- Name Something That Can Have A Buckle.,47,Shoe/Boot,28,Car Seat,11,Bag/Purse,6,Coat,5,Suit Case
Tell Me An Article Of Clothing That People Who Live In Warm Climates Are Likely To Have Several Of.,48,Shorts,30,Swim Suits,9,Flip Flops,7,Tank Tops,4,T Shirts
Name Something Embarrassing That You Don’t Want To Do While Asleep On A Plane Ride,44,Snore,29,Drool,12,Pass Gas,9,Jerk/Fall Over,3,Talk In Sleep
Name Something That A Secretary Never Wants To Run Out Of At The Office.,41,Paper,23,Pens/Ink,12,Coffee,11,Staples,7,Time
Name Something A Hair Dresser Might Complain About A Customer.,31,Dirty Hair,27,The Tip,14,Always Moving,13,Late,9,Too Picky
Name Something People Check At Least Once A Day.,37,E Mail,31,Time,11,Mailbox,10,Hair,6,Voice Mail
What Do Fast-Food Employees Have To Do- That 5-Star Wait Staff Don’t?,34,Cook,31,Clean,20,Work Drive Thru,6,Use Cash Register,4,Wear Uniform
Name A Noise That Causes Your Dog To Bark When He Hears It On TV.,29,Doorbell,23,Dogs Barking,22,Cat,14,Siren,6,Whistle
Name something you wouldn’t want to discover in a hotel bed when checking into your room.,46,Bugs/Rodents,32,Other Peoples’ Stuff,10,Dirty sheets,6,Hair,3,A person
Name something you might put on top of a salad.,45,Dressing,24,Croutons,22,Cheese,5,Fruit,4,Bacon
Name something a man might try to keep covered during a first date.,37,Tattoo,27,Acne,19,Bald Spot,7,Wedding ring,5,Belly
Name something a person might be picky about.,58,Food,19,Clothes,9,Hairstyle,5,Dating,3,Car
Name something that house cleaners clean more often than you do(More specific than a room),39,Toilet,21,Windows,21,Floor,10,Stove/Oven,6,Ceiling Fan
Name a way that a man’s voice might change when talking to his love interest.,33,Deepens,33,Softer,16,Nervous stutter,7,Higher pitch,6,Crack
Name a place in their home that people hide money.,49,Under mattress,24,Dresser drawer,9,Cookie jar,7,Closet,5,Freezer
Name a small creature who can be very noisy.,38,Cricket,28,Bird,15,Chihuahua,11,Cat,5,Frog
Name something risky that most people do at least once in their lifetimes.,40,Skydive,27,Fly,15,Get married,7,Bungee jump,6,Gamble
Name a sign your girlfriend might be turning into a mermaid.,39,Grows tail,20,She swims often,15,Getting scales,12,Always in water,8,Gills
Name something men try to cover up.,59,Affair,15,Baldness,8,Lies,8,Bills/Money,4,Gray hair
What body part is most important for a star to maintain?,46,Face,34,Stomach,6,Legs,5,Butt,4,Hair
Name something that shines at night.,42,Stars,36,Moon,9,Streetlights,4,Fire Flies,3,Headlights
Name something the world’s dumbest bank robber might leave at the scene of the crime,33,The Loot,22,ID,20,Fingerprints,14,Wallet,5,His gun
Name a cartoon character who’s always getting hurt.,44,Wile E Coyote,18,Daffy Duck,17,Tom/Jerry,8,Tasmanian Devil,7,Itchy & Scratchy
Name an activity you might do while on a Hawaiian honeymoon.,41,Surf,29,Swim,10,Snorkel/scuba dive,9,Hula dance,6,Luau
Name a job title someone might have in a big company.,39,CEO,29,President,16,Vice President,8,Supervisor,3,Manager
Name a topping you’d put on both a pizza and a taco.,44,Cheese,23,Beef/Sausage,20,Tomato,6,Olives,4,Onions
Name something everyone says they’re good at when at a job interview-even if it’s a lie.,31,Computers,29,People skills,17,Punctuality,15,Multitasking,5,Organization
Name an activity people like to do at a lake.,45,Fishing,19,Boating,14,Swimming,13,Water ski,3,Picnic
Name something you might find on a miniature golf course.,54,Golf ball,23,Windmill,6,Cup,6,Putting green,4,Putter
Name something a kid with a broken arm would have a hard time doing at school.,57,Writing,18,Playing sports,7,Carrying things,4,Going to bathroom,3,Raising hand
Name something a manicurist needs to do her job.,60,Nail File,26,Fingernail Polish,6,Buffer,5,Cotton Balls,3,Scissors
For what reason might you suspect that the person you’re dating is in the mob?,44,Carries a gun,23,Lots of money,20,Italian accent,7,Black clothes,4,Secretive
Name a piece of kids’s play equipment that adults would probably hurt themselves using.,35,Monkey bars,28,Slide,27,Swing,5,Merry go round,3,Seesaw
Past or present-name a presidential couple whose dinner conversations you’d love to eavesdrop on.,36,The Clintons,30,The Obamas,13,Bush Jr. and Laura,10,The Reagans,6,The Kennedys
Name something your partner might do first thing in the morning that wakes you up.,42,Shower,26,Kiss me,12,Brush teeth,9,Ignore alarm,6,Turn on light
If you just ran a marathon-what would you need to do after the race was over?,49,Drink water,34,Rest,9,Shower,4,Stretch,3,Use bathroom
Tell me something that makes you mad when you’re watching TV.,30,Commercials,28,Background noise,18,Phone rings,15,Bad reception,7,Violence
Name something you might see a picture of on a postcard from Hawaii.,29,Palm trees,27,Beach,17,Water,15,Hawaiian Woman,7,Volcano
What kind of nut butter could you use if you were allergic to peanuts?,52,Almond,17,Hazelnut,10,Soy,9,Cashew,9,Walnut
Name an animal that can live in the cold.,62,Polar Bear,22,Penguin,5,Seal,4,Wolf,2,Walrus
We asked 100 Women: At what age is a man most handsome?(NUMBERS ONLY),37,30,30,40,17,25,6,35,4,20
Name A Kind Of Pyramid.,42,Egyptian Pyramid,31,Food Pyramid,10,Pyramid Scheme,9,Cheerleaders Pyramid,5,$100-000 Pyramid
Name Something A Woman Would Be Foolish To Apply Makeup Before Doing.,34,Swimming,28,Showering,14,Going To Sleep,12,Washing Her Face,7,Aerobics
Name Something A Pizza Delivery Person Hates About Their Job,47,Bad Tips,16,Dogs,14,Driving,14,Finding House,8,Bad Areas
Name The Article Of Babies’ Clothing That Grown Adults Are Most Shocked By When Seeing Its Tiny Size.,59,Shoes/Booties,17,Diapers,11,Onesie/Pajamas,7,T-Shirt,3,Bib
What Are Some Things That People Send By Email That They Used To Send Through The Mail?,37,Letter,23,Pictures,16,Cards,10,Invitations,8,Bills
Name Something You Associate With The Dallas Cowboys.,60,Cheerleaders,26,Football,3,Troy Aikman,2,Champs,2,Blue Star
Name Something People Burn In Protest.,61,Flags,21,Bras,7,Draft Cards,6,Signs,2,Books
Name An Article Of Clothing Some Women Try To Wear As Tight As Possible,60,Jeans/Pants,13,Shit/Sweater,11,Skirt/Dress,6,irdle,5,Bra
Name Something Stressful That Couples Do Together,29,Argue/Counseling,27,Manage Money,21,Raise Kids,12,Plan A Wedding,8,Buy A House
Name Something Associated With Zorro,42,Mask,30,Sword,14,Z,5,Horse,4,Cape
Name A Type Of Professional Who Might Overcharge If You Don’t Know Any Better.,42,Mechanic,23,Lawyer,19,Doctor/Dentist,6,Plumber,5,Car Salesperson
If you were a celebrity for a day-name a place or event you’d try to get into.,62,Awards show,14,The White House,10,VIP Nightclub,8,Concert/Backstage,4,Celebrity party
Name Something People Know About Richard Nixon,41,Watergate,28,Resigned,8,I Am Not A Crook,8,Went To China,8,Checkers Speech
Name Something An Employee Sitting In The Cubicle Next To You Might Do That Annoys You.,35,Talks Too Loud,29,Tap Pen/Pencil,14,Sings,10,Cough,6,Chew Gum
Name Something A Kindergarten Teacher Wears To Work That A Banker Never Would,43,Jeans,34,Apron,9,Tennis Shoes,5,T Shirt,3,Colorful Seater
Name A Place You See A Lot Of Green Grass.,45,Golf Course,21,Park,15,Farm,7,Suburbs,6,Country
Name A Comfort Food That Has Cheese In/On It.,47,Pizza,21,Mac And Cheese,10,Grilled Cheese,9,Nachos,9,Crackers
What Thanksgiving Dish Would Do The Least Damage If Thrown At You IN A Food Fight?,41,Turkey,22,Stuffing,19,Mashed Potatoes,8,Pie,7,Cranberry Sauce
Name A Movie With The Word “Dr.” In The Title.,32,Doctor Doolittle,26,Doctor Zhivago,15,Doctor Who,13,Dr. No,12,Dr. Jekyll/Mr. Hyde
Name A Way You Can Tell A Storm Is Coming,61,Dark Clouds/Sky,18,Lightning,5,Wind Changes,4,Smell,3,Drizzling
Tell Me Something That Causes Skin To Turn Red.,37,Sunburn,25,Rash/Allergy,18,Embarrassment,11,Alcohol,6,Exercise
If you were to open “Heartbreak Hotel-” name something you’d offer your brokenhearted guests.,35,Chocolate/sweets,23,Love/company,15,A drink,12,Tissue,6,Flowers
Name A Reason Why A Particular Kid Might Be Popular In School,29,Good Looking,28,Good Athlete,18,Rich,16,nicely Dressed,3,Friendly
Name Something That Has A Lock On It,67,Door,13,Safe,8,Car,3,Locker,3,Gate
Name A Country That Usually Does Well In The Olympics.,73,United States,15,Russia,5,China,4,England,3,Germany
Name something a teenager would hate to be the last of their friends to do.,38,Drive,30,Date,13,Graduate,11,Hit puberty,5,Get a phone
What Might You Do On Family Feud- That Makes Your Family Upset With You?,54,Give Wrong Answers,23,Lose Fast Money,8,Yell,5,Swear,4,Give No Answer
Name Something You Use To Decorate Your Face For Halloween,64,Paint,19,Mask,5,Fake Blood,4,Clown Nose,3,Glitter
